hot_diggity_d,"['drugs', 'alcohol', 'seen', 'effect', 'honestly', 'hand', 'first', 'would', 'ive', 'depression']"
LaurenReimer1,"['switched', 'heartbreak', 'nightmare', 'gone', 'true', 'medication', 'others', 'away', 'psy', 'come', 'get', 'like', 'anxiety', 'ive', 'go', 'depression']"
SuicidalRoboto,"['watermarks', 'tbqh', 'gtinb4', 'spammed', 'watermarked', 'images', 'annoys', 'downward', 'political', 'spiral', 'whether', 'tweets', 'crazy', 'lately', 'ocd', 'making', 'part', 'shit', 'sel', 'make', 'go', 'depression']"
Coedwards19,"['stressing', 'wife', 'future', 'using', 'boy', 'boo', 'fun', 'thats', 'ill', 'depression']"
ahomeforthelost,"['anxietydepression', 'ummm', 'fog', 'cried', 'tears', 'sharing', 'proud', 'weeks', 'tonight', 'started', 'talking', 'ago', 'thanks', 'happy', 'may', 'work', 'therapy', 'people', 'depression']"
iamkurtmorris,"['storytelling', 'loneliness', 'latest', 'blog', 'students', 'speaking', 'articles', 'college', 'mentalhealth', 'gradstudents', 'againtime', 'holidayseason', 'celebs', 'massachusetts', 'finances', 'dennie', 'deciding', 'confronted', 'mhap', 'storyslam', 'mikes', 'largescale', 'warps', 'mailing', 'mentalillness', 'speak', 'check', 'katie', 'scariest', 'despise', 'shitshow', 'notifications', 'wrote', 'dealing', 'advocate', 'entry', 'irritable', 'irritability', 'relates', 'promoting', '1i', '2001', 'advocacy', 'find', 'punk', 'military', 'topics', 'traveling', 'article', 'enjoyable']"
twtjungkoo,"['hsjsh', 'kskgkfs', 'youths', 'worldwidely', 'nanti', 'datang', 'ceramah', 'pastu', 'hafz', 'hamdun', 'designed', 'selalu', 'malaysia', 'bagi', 'dengan', 'battery', 'seats', 'bye', 'seokjin', 'recognized', 'adlin', 'mutuals', 'company', 'muslim', 'collab', 'icon', 'uwu', 'passion', 'talked', 'pun', 'bts', 'dreams', 'impact', 'songs', 'powerful', 'gain', 'meet', 'exactly', 'save', 'money', 'specially', 'theyre', 'realize', 'hm', 'struggling', 'little', 'maybe', 'talking', 'tweet', 'makes']"
bitcoinyogi,"['activity', 'mask', 'role', 'keeping', 'busy', 'matter', 'anxiety', 'depression']"
JVillesvik,"['cousin', 'battled', 'alcoholism', 'father', 'recovery', 'understand', 'epi']"
jeeziraaaa,"['hookah', 'shelters', 'honey', 'pup', 'smoke', '23', 'animal', 'everyday', 'looking', 'agree', 'girl', 'please', 'doesnt', 'care', 'years', 'old', 'need', 'want', 'help', 'dont', 'anxiety', 'ive', 'depression']"
galacticxtears,"['dull', 'tried', 'similar', 'recovery', 'bpd', 'relate', 'normal', 'giving', 'moment', 'theres', 'nothing', 'everything', 'back', 'come', 'never', 'today', 'got', 'therapy', 'aw', 'way', 'feel', 'get', 'anxiety']"
ah_excuseme,"['similar', 'caused', 'crying', 'idk', 'two', 'school', 'mom', 'much', 'ive', 'anxiety']"
Shereen_412016,"['blessings', 'define', 'hitting', 'thankful', 'smile', 'many', 'let', 'therapy', 'cant', 'life', 'ink', 'feel', 'depression']"
heatherschiefer,"['erased', 'reduces', 'alliance', 'gaga', 'shares', 'conversion', 'gay', 'film', 'lady', 'students', 'simply', 'inner', 'shut', 'straight', 'risk', 'powerful', 'behind', 'voice', 'true', 'boy', 'story', 'suicidal', 'thoughts', 'struggle', 'made', 'suicide', 'health', 'therapy', 'mental']"
DickAssman9,"['yearly', 'magazine', 'possibly', 'psychology', 'seasonal', 'thats', 'read', 'depression']"
mushishizebel,"['sweets', 'carbs', 'chill', 'cuz', 'aint', 'eating', 'stop', 'thats', 'ok', 'depression']"
Jillvox,"['bethe1to', 'donated', 'givingtuesday', 'lifeline', 'hemp', 'suicideprevention', 'national', 'cbd', 'changed', 'wrong', 'youre', 'shit', 'take', 'amp', 'anxiety', 'depression']"
chris_tianity,"['hyperint', 'characters', 'face', 'story', 'coming', 'youre', 'lot', 'abuse', 'get']"
ConsiderThis1,"['spice', 'truffles', 'sallys', 'pumpkin', 'baking', 'believed', 'detrimental', 'huge', 'fact', 'addiction', 'yes', 'part', 'thats', 'health', 'make', 'stress']"
gabyrmzzz,"['transformative', 'problemati', 'scarier', 'healed', 'wounds', 'heavily', 'methods', 'learned', 'opened', 'worked', 'drinking', 'stopped', 'upset', 'relationships', 'dealt', 'cope', 'super', 'idk', 'realize', 'started', 'good', 'used', 'therapy', 'didnt', 'thought', 'lot', 'really', 'old', 'never', 'much', 'year', 'stress', 'ive', 'like', 'one', 'im', 'th', 'depression']"
ravv_bilkhu,"['convinced', 'last', 'year', 'sad', 'im', 'depression']"
babbbyyylulu,"['btsbbmas', 'bbmas', 'voting', 'artist', 'vote', 'agh', 'grown', 'addicted', 'social', 'wins', 'bts', 'top', 'notice', 'sleepi', 'army', 'fighting', 'came', 'thinking', 'care', 'stop', 'sleep', 'sad', 'rt', 'back', 'never', 'much', 'got', 'time', 'dont']"
Rexxwolfe,"['consolidate', 'iwould', 'scraps', 'applying', 'rearing', 'unwanted', 'affection', 'moody', 'defeated', 'voices', 'throat', 'expensive', 'evidence', 'leads', 'tells', 'left', 'hurts', 'effects', 'rather', 'drugs', 'experienced', 'wants', 'waiting', 'disease', 'fight', 'wanted', 'damn', 'seeing', 'mess', 'lately', 'start', 'physical', 'sad', 'enough', 'sucks', 'head', 'alone', 'yall', 'pain', 'wish', 'severe', 'anyone', 'sorry', 'point', 'makes', 'side', 'cont', 'shit', 'feeling', 'right']"
vicwitness,"['media', 'break', 'social', 'away', 'star', 'take', 'depression']"
buttfloss33,"['panda', 'flexes', 'masturbates', 'unemployed', 'breathe', 'letting', 'harder', 'express', 'gets', 'wow', 'week', 'try', 'today', 'really', 'depressed', 'depression']"
jasonmrhodes,"['tips', 'motivation', 'super', 'morning', 'anyone', 'bed', 'even', 'get', 'dont', 'im', 'depression']"
CrystalCharm44,"['janet', 'reason', 'away', 'sure', 'doesnt', 'sad', 'fuck', 'like', 'go', 'im', 'depression']"
Renee29729472,"['doggies', 'hugs', 'spending', 'cats', 'thanksgiving', 'spirit', 'hitting', 'holidays', 'christmas', 'either', 'horrible', 'especially', 'leave', 'taking', 'wont', 'family', 'without', 'alone', 'yeah', 'around', 'big', 'gonna', 'friends', 'hope', 'better', 'feeling', 'always', 'hard', 'lie', 'thank', 'got', 'cant', 'amp', 'love', 'really', 'feel', 'depressed', 'ever', 'one', 'wo', 'anxiety', 'im', 'depression']"
EpilepsyGirl2,"['cowboys', 'gallup', 'falcons', 'epilepsy', 'michael', 'report', 'learned', 'brother', 'died', 'apparent', 'game', 'wr', 'suicide', 'depression']"
anti90smovement,"['disorganized', 'messy', 'elementary', 'bef', 'cos', 'remember', 'school', 'sometimes', 'think', 'im', 'depression']"
KarleighMillig1,"['threw', 'snow', 'roof', 'drive', 'clean', 'goes', 'room', 'thinking', 'body', 'sometimes', 'take', 'even', 'anxiety', 'depression']"
amdjeIica,"['crippling', 'depression']"
Earl_Tracey,"['completely', 'wards', 'mine', 'lost', 'idea', 'sometimes', 'doesnt', 'fucking', 'ptsd', 'years', 'come', 'really', 'like', 'go', 'depression']"
IamManekiNeko,"['crunching', 'clutter', 'bone', 'badly', 'losing', 'havent', 'definitely', 'made', 'weight', 'house', 'took', 'realize', 'making', 'worse', 'bed', 'last', 'feeling', 'days', 'things', 'work', 'much', 'depression']"
music2yourlashe,"['blame', 'alli', 'girl', 'severe', 'tell', 'feeli', 'dont', 'anxiety', 'go']"
hoping4nash,"['unrelenting', 'unwanted', 'companion', 'beast', 'deeper', 'becomes', 'slip', 'tears', 'nearly', 'books', 'awful', 'completely', 'seriously', 'far', 'question', 'least', 'watching', 'symptom', 'soo', 'havent', 'espe', 'two', 'everything', 'sometimes', 'point', 'today', 'great', 'long', 'new', 'things', 'read', 'amp', 'like', 'im', 'depression']"
natnat1921,"['elephants', 'unfortunately', 'fake', 'abuse', 'get']"
moonlightx32,"['bcs', 'level', 'suicidal', 'thoughts', 'sometimes', 'depression']"
saladgrl,"['dimming', 'humes', 'objectionsissuesi', 'theoret', 'augmented', 'characteristics', 'afaik', 'tenuous', 'hume', 'opposition', 'purely', 'pages', 'grasp', 'disgusting', 'dye', 'tolerance', 'selfish', 'essay', 'brings', 'return', 'fake', 'aka', 'mostly', 'basically', 'regular', 'human', 'function', 'seriously', 'sun', 'hair', 'seasonal', 'taking', 'worst', 'psychology', 'brain', 'two', 'best', 'many', 'suicide', 'come', 'thing', 'ea', 'depression']"
bdehonoret,"['arguing', 'grande', 'ariana', 'stans', 'pls', 'pm', 'looking', 'mess', 'hot', 'rted', 'bts', 'getting', 'tl', 'love', 'dont']"
tompettys,"['bowling', 'cleansing', 'pld', 'lindsey', 'sluggish', 'luv', '6pm', 'cancelled', 'hoe', 'exhausted', 'guess', 'hell', 'nap', 'done', 'body', 'gonna', 'fuckin', 'deal', 'shit', 'post', 'friend', 'today', 'work', 'therapy', 'life', 'feel', 'real', 'ill', 'like', 'ur', 'im', 'depression']"
raemarie54,"['struggles', 'forward', 'coming', 'thank', 'want', 'depression']"
mentalxians,"['meaningful', 'secular', 'frighteningabusive', 'hallucinatorytype', 'persepctive', 'bipolor', 'wrestling', 'coverage', 'scripture', 'verses', 'concerts', 'discouraged', 'musicians', 'underestimate', 'responsible', 'related', 'quotes', 'david', 'grief', 'fog', 'praying', 'resources', 'trouble', 'places', 'sides', 'assume', 'becaus', 'studying', 'experiences', 'click', 'happening', 'grateful', 'behavior', 'strange', 'hasnt', 'bullying', 'topic', 'later', 'public', 'effects', 'whether', 'coping', 'answer', 'schizophrenia', 'asking', 'new', 'pray', 'post', 'affect', 'christ']"
KodiChill7,"['rein', 'players', 'fellow', 'chronic', 'leave', 'yeah', 'gonna', 'cant', 'ev', 'im', 'depression']"
sarahhhsawicki,"['applebees', 'jokes', 'playing', 'christmas', 'giving', 'theyre', 'tired', 'making', 'bts', 'illness', 'fucking', 'getting', 'old', 'also', 'stan', 'still', 'mental', 'rn', 'think', 'people', 'peop', 'im', 'depression']"
omgsaiah,"['paged', '10pm', 'minds', 'paper', 'friday', 'lets', 'due', 'havent', 'started', 'get', 'depression']"
sar7295,"['purposeless', 'diagnoses', 'empty', 'clinical', 'basically', 'struggled', '12', 'severe', 'world', 'addiction', 'feeling', 'years', 'well', 'fin', 'ive', 'anxiety', 'depression']"
Katyusharh,"['much', 'better', 'oh', 'feel', 'dont', 'like', 'anxiety', 'ty', 'depression']"
bishoujomog,"['kroger', 'pickups', 'tfw', 'grocery', 'technology', 'productive', 'bless', 'pick', 'haha', 'shes', 'free', 'honest', 'done', 'anything', 'mom', 'great', 'thought', 'tell', 'also', 'try', 'time', 'cant', 'life', 'every', 'feel', 'depressed', 'get', 'dont', 'thing', 'like', 'ur', 'depression']"
JoyGillera,"['strides', 'ginagawang', 'nalang', 'invalidated', 'efforts', 'climb', 'sentence', 'handle', 'small', 'heard', 'pit', 'felt', 'reason', 'made', 'sorry', 'trying', 'hope', 'ka', 'hard', 'never', 'til', 'see', 'depressed', 'get', 'mo', 'na', 'im', 'depression']"
james_worsham,"['snarky', 'stimulating', 'catalyst', 'followinteract', 'scientists', 'afford', 'site', 'cool', 'gave', 'pay', 'cured', 'house', 'brain', 'hang', 'tweet', 'sometimes', 'sorry', 'could', 'also', 'would', 'talk', 'today', 'people', 'depressed', 'real', 'anxiety', 'im', 'depression']"
sydnothx,"['postsecret', 'tofu', 't4', 'tumblr', 'breathin', 'following', 'waiting', '12', 'came', 'made', 'ready', 'therapy', 'depressed', 'im']"
itsmebrettelle,"['inflict', 'professor', 'kept', 'college', 'tell', 'depression']"
qcaly,"['flynns', 'beverage', 'depressy', 'delivered', 'asf', 'posted', 'snap', 'random', 'basically', 'course', 'comfort', 'name', 'lil', 'inn', 'saying', 'tf', 'thoughts', 'attack', 'friends', 'didnt', 'could', 'rap', 'would', 'see', 'know', 'depressed', 'ex', 'thing', 'anxiety', 'im', 'depression']"
sxghfer,"['skinc', 'celebrity', 'ummm', 'girlfriend', 'curious', 'plans', 'hanging', 'holidays', 'send', 'ask', 'shit', 'next', 'enough', 'miss', 'sucks', 'alone', 'yall', 'would', 'said', 'social', 'please', 'fucking', 'cat', 'lot', 'bts', 'going', 'got', 'see', 'life', 'like', 'depressed', 'dont', 'ive', 'anxiety', 'depression']"
remediated_,"['offline', 'venn', 'diagram', 'cesd', 'overview', 'toddlers', 'professor', 'comparing', 'answering', 'searching', 'genes', 'online', 'indicate', 'grandmoth', 'learned', 'willing', 'schools', 'began', 'resources', 'showed', 'results', 'chose', 'define', 'confuse', 'percent', 'correct', 'professional', 'hearing', 'surprise', 'process', 'enough', '15', 'huge', 'possible', 'course', 'wouldnt', 'anyway', 'wrong', 'exactly', 'seeing', 'energy', 'often', 'symptoms', 'means', 'word', 'took', 'test', 'tend', 'many', 'others']"
deletingfat,"['fidgeting', 'bestie', 'ibs', 'olivia', 'panicking', 'stressing', 'appt', 'screaming', 'dinner', 'worrying', 'schedule', 'within', 'meeting', 'community', 'wtf', 'killing', 'account', 'rant', 'gotta', 'kinda', 'calm', 'seen', 'seeing', 'weeks', 'bc', 'means', 'idk', 'working', 'stop', 'honestly', 'meds', 'cause', 'found', 'thinking', 'family', 'first', 'great', 'something', 'shit', 'always', 'really', 'old', 'today', 'cant', 'ps', 'der', 'stress', 'time', 'anxiety', 'ill']"
Andlynjon,"['bphope', 'esperanza', 'sneaky', 'opens', 'bipolar', 'pushpull', 'healthline', 'beasts', 'worriesi', 'bandage', 'vaccine', 'nautilus', 'disorderwork', 'kristen', 'lowgrade', 'premania', 'aubrey', 'accommodations', 'tricked', 'sizes', 'drastically', 'gabe', 'authentic', 'restless', 'speaks', 'management', 'detective', 'actress', 'savvy', 'hibernation', 'triumph', 'howard', 'overlook', 'addressing', 'disturbance', 'strategy', 'cope', 'hallucinations', 'prince', 'disorder', 'blessing', 'contemplating', 'pocket', 'myths', 'survival', 'improved', 'advanced', 'strategies', 'gaga', 'creeping']"
badboydowns,"['fandom', 'wanna', 'shit', 'bts', 'every', 'fo', 'one']"
inanawesomewave,"['aspd', 'survival', 'manicures', 'lieu', 'prolongs', 'unlikely', 'arose', 'sustained', 'timidity', 'shifted', 'tasty', 'harrowing', 'sociopath', 'relapse', 'weapon', 'perpetuates', 'celebrated', 'friendly', 'npd', 'prolon', 'essays', 'endless', 'antisocial', 'nhs', 'sweating', 'begun', 'dx', 'lowkey', 'personality', 'reacting', 'developed', 'neglect', 'accepting', 'course', 'else', 'latest', 'valid', 'degree', 'highly', 'proper', 'disorder', 'giving', 'develop', 'photo', 'nobody', 'bipolar', 'mode', 'whos', 'period', 'birth']"
onyx_and_gold,"['satoori', 'reza', 'upcoming', 'tracks', 'remains', 'tries', 'huh', 'dose', 'fall', 'daughter', 'stupid', 'please', 'level', 'early', 'alone', 'believe', 'two', 'full', 'best', 'something', 'new', 'days', 'bts', 'still', 'dont', 'cant', 'get', 'rap', 'one', 'im', 'depression']"
biocuriosity,"['yoooooooo', 'convincin', 'finished', 'hopeful', 'article', 'felt', 'story', 'first', 'good', 'suicide', 'time', 'ever', 'ive']"
Nikki_Shieldss,"['shave', '741741', 'believing', 'text', 'educate', 'jokes', 'judge', 'leads', 'worker', 'crisis', 'urge', 'choice', 'funny', 'constant', 'hair', 'joke', 'lost', 'probably', 'suicidal', 'talking', 'someone', 'stigma', 'around', 'arent', 'illness', 'fucking', 'feeling', 'know', 'mental', 'suicide', 'dont', 'really', 'people', 'depressed', 'like', 'depression']"
gothguks,"['soproud', 'untouchable', 'fuckckfc', 'thankgod', 'howlong', 'boycotting', 'goodnight', 'screams', 'talented', 'chips', 'bts', 'robbed', 'blown', 'perform', 'female', 'breathe', 'record', 'artist', 'next', 'minutes', 'pls', 'deserve', 'fucking', 'completely', 'crazy', 'please', 'theyre', 'level', 'different', 'eating', 'break', 'literally', 'away', 'best', 'gonna', '20', 'much', 'didnt', 'sleep', 'new', 'win', 'fin', 'bt', 'cant', 'amp', 'love', 'every', 'stress', 'dont', 'like']"
rjh497,"['million', 'older', 'weird', 'experience', 'differ', 'mind', 'youre', 'like', 'anxiety']"
BLACKB0ND,"['metal', 'gear', 'solid', 'feels', 'playing', 'worst', 'first', 'life', 'like', 'know', 'time', 'depression']"
LiLMoonBarbie,"['betrayal', 'tooth', 'seizure', 'chester', 'unfortunately', 'wave', 'medications', 'blue', 'interact', 'space', 'playlist', 'posting', 'missed', 'hill', 'thru', '16', 'tbh', 'witch', 'saw', 'beau', 'attempt', 'goes', 'tried', 'morning', 'meds', 'physical', 'havent', 'serious', 'went', 'head', 'already', 'ana', 'right', 'thank', 'going', 'got', 'met', 'therapy', 'suicide', 'depressed', 'really', 'know', 'get', 'dont', 'like', 'im', 'depression']"
freddy_kristoff,"['five', 'three', 'years', 'two', 'ptsd', 'war', 'depression']"
not_a_bottom,"['plans', 'gf', 'cancel', 'prob', 'going', 'im', 'depression']"
TheBlueHeretic,"['ibuprofen', 'guard', 'appropriate', 'despair', 'building', 'death', 'yet', 'happy', 'addiction', 'would', 'know', 'day', 'ol', 'depression']"
GhostAngelGamer,"['accused', 'grandmother', 'smile', 'helping', 'money', 'taking', 'living', 'sick', 'tired', 'makes', 'friends', 'got', 'need', 'help', 'stress', 'know', 'feel', 'like', 'im', 'depression']"
Chappers28,"['exactly', 'heart', 'big', 'trauma', 'still', 'much', 'ive', 'im']"
theDooMLucky,"['begins', 'handicap', 'sexually', 'physically', 'happens', 'buy', 'mentally', 'children', 'must', 'place', 'gets', 'control', 'special', 'hell', 'bad', 'addiction', 'shit', 'days', 'back', 'abuse', 'people', 'think', 'time', 'anxiety', 'wa']"
anikauwu,"['gpa', '40', 'clear', 'cured', 'skin', 'thanks', 'post', 'depression']"
JulieBipolar,"['magazine', 'oregon', 'portland', 'julie', 'nephew', 'swings', 'mania', 'unreasonable', 'reviews', 'bipolar', 'partners', 'stable', 'competitor', 'pieces', 'bounce', 'david', 'schizoaffective', 'reads', 'mistakes', 'advanced', 'disabled', 'partner', 'management', 'questions', 'cannabis', 'neurotransmitters', 'bipolardepression', 'reviewed', 'olympians', 'gambles', 'subscription', 'negatively', 'egotistical', 'healthybpbody', 'euphoric', 'manicpsychotic', 'gads', 'columns', 'jewelry', 'dave', 'mowry', 'celiac', 'metabolic', 'ruthlessly', 'specifics', 'rocky', 'nephews', 'orotate', 'manic', 'disorder']"
DLs_TeddyBear,"['havnt', 'worst', 'wish', 'attack', 'fuck', 'think', 'ugh', 'anxiety', 'one', 'di', 'im']"
BrightBlueIris,"['januari', 'closest', 'stating', 'record', 'gotten', 'decided', 'saying', 'probably', 'brain', 'point', 'last', 'oke', 'though', 'year', 'life', 'know', 'dont', 'ever', 'ive', 'im', 'depression']"
drsarahallen,"['interviewing', 'worrier', 'abundance', '145', 'worrying', 'postpartum', 'reduce', 'article', 'quoting', 'tips', 'questions', 'shares', 'frazzled', 'carson', 'dalys', 'redbook', 'throes', 'whereby', 'breadth', 'maternal', 'holidays', 'short', 'dads', 'examining', 'poses', 'unavoidable', 'viewed', 'paternal', 'experiencing', 'simple', 'five', 'prevalent', 'classroom', 'bodies', 'established', 'worry', 'reasons', 'unhappy', 'soothe', 'depth', 'important', 'parents', 'sneaky', 'detect', 'adolescent', 'risk', 'modern', 'kinds', 'sooth', 'ppd']"
jacobodcardona,"['centerseparate', 'insaneeeeee', 'performed', 'convention', 'immense', 'received', 'merch', 'beyo', 'within', 'sob', 'relief', 'given', 'worth', 'fort', 'thinking', 'past', 'bts', 'line', 'actually', 'week', 'say', 'much', 'love', 'stress', 'real', 'depression']"
broken_slight,"['gear', 'junk', 'added', 'immediately', 'plus', 'deserve', 'kicking', 'mother', 'absolute', 'least', 'high', 'well', 'today', 'say', 'help', 'stress', 'con', 'dont', 'one', 'depression']"
jeunelegeant,"['brat', 'outside', 'exactly', 'sound', 'clinical', 'reason', 'youre', 'right', 'cant', 'like', 'get', 'depression']"
grassgasp,"['jules', 'springsteen', 'bruce', 'alex', 'fake', 'grade', 'sounds', 'chat', 'gone', 'medication', 'group', 'helps', 'nothing', 'mom', 'since', 'ok', 'ive', 'im', 'depression']"
XONATALKA,"['stfu', 'humberstaff', 'driver', 'alcoholic', 'billion', 'arguing', 'drunk', 'argue', 'denial', 'sending', 'gotta', 'bitch', 'dog', 'weed', 'choose', 'stem', 'home', 'lol', 'caused', 'focus', 'instead', 'wanted', 'dad', 'true', 'addiction', 'crying', 'theyre', 'different', 'saying', 'honestl', 'support', 'issues', 'member', 'literally', 'actually', 'bc', 'attack', 'love', 'hate', 'things', 'someone', 'come', 'also', 'bad', 'work', 'bus', 'therapy', 'amp', 'want', 'help']"
damprice,"['grappled', 'whos', 'adult', 'worth', 'tomorrow', 'matt', 'living', 'always', 'someone', 'life', 'depression']"
grimyire,"['depressiontm', 'busy', 'lrt', 'mainly', 'memory', 'flex', 'catch', 'tired', 'awful', 'drink', 'bc', 'also', 'work', 'dont', 'like', 'ever', 'im', 'depression']"
mickey_mouse019,"['stuff', 'video', 'said', 'didnt', 'part', 'also', 'want', 'get', 'one', 'im', 'depression']"
educatingantis,"['behavioral', 'openly', 'autism', 'disorders', 'mentally', 'different', 'ocd', 'adhd', 'less', 'make', 'ill', 'like', 'anxiety', 'im', 'depression']"
jouvxrt,"['hoodie', 'comes', 'anymore', 'matter', 'day', 'dont', 'depression']"
lillia92476509,"['bestest', 'cruel', 'granted', 'count', 'family', 'man', 'take', 'never', 'still', 'fri', 'day', 'depression']"
AveryGold_Games,"['episodeeeeeeeeeee', 'ayyyyyyyyyyyyyyyy', 'yahhhhh', 'couldjy', 'afterwards', 'obsession', 'mistake', 'hasnt', 'annoying', 'whatever', 'songs', 'mix', 'outside', 'parents', 'entire', 'bipolar', 'telling', 'bpd', 'harm', 'money', 'helped', 'commit', 'worst', 'tired', 'worse', 'made', 'disorder', 'sorry', 'die', 'away', 'stand', '20', 'watch', 'doesnt', 'fucking', 'suicide', 'self', 'could', 'may', 'sad', 'days', 'well', 'still', 'bad', 'good', 'going', 'say', 'fuck', 'make', 'cant']"
automneroses,"['wholl', 'comprehensively', 'irrational', 'fears', 'genuinely', 'husband', 'please', 'kids', 'attacks', 'nose', 'head', 'worse', 'understand', 'deal', 'help', 'someone', 'need', 'want', 'know', 'get', 'anxiety', 'depression']"
danrockss,"['741741', 'text', 'worker', 'crisis', 'suicidal', 'feeling', 'know', 'depressed']"
Kiwibean1991,"['sickhave', '3rd', 'spike', 'mentioned', 'review', 'drinking', 'drive', 'text', 'weekend', 'send', 'thinking', 'que', 'trying', 'addiction', 'row', 'hate', 'hes', 'season', 'feeling', 'hard', 'also', 'still', 'amp', 'ive', 'anxiety', 'depression']"
buterabaIIinger,"['conveniently', 'colleen', 'nights', 'exercising', 'tips', 'involve', 'hella', 'visit', 'latest', 'bored', 'party', 'based', 'whatever', 'videos', 'usually', 'funny', 'kinda', 'seen', 'rough', 'havent', 'coming', 'tweet', 'anyone', 'watch', 'doesnt', 'mad', 'better', 'week', 'things', 'really', 'someone', 'also', 'bad', 'today', 'work', 'love', 'want', 'feel', 'dont', 'ab', 'like', 'ur', 'anxiety', 'im', 'depression']"
Warriorfeather,"['tooand', 'encapsulates', 'groban', 'josh', 'lt3', 'ideation', 'attempts', 'bouts', 'blood', 'dealt', 'several', 'choice', 'song', 'family', 'sucks', 'social', 'times', 'back', 'suicide', 'year', 'art', 'know', 'like', 'anxiety', 'go', 'ha', 'depression']"
dylan_erger,"['thirty', 'demanding', 'refund', 'flower', 'scents', 'beer', 'reliever', 'bottle', 'wall', 'wow', 'cold', 'source', 'drink', 'weeks', 'nice', 'wait', 'found', 'coming', 'away', 'best', 'sleep', 'look', 'stress', 'would', 'got', 'cant', 'get', 'dont', 'ever', 'one', 'im', 'depression']"
LifelessBaby,"['sending', 'bill', 'quick', 'rates', 'chance', 'gun', 'death', 'another', 'went', 'doesnt', 'give', 'also', 'try', 'therapy', 'suicide']"
_marz_barz_,"['technically', 'forgot', 'birthday', 'stressed', 'soon', 'ago', 'days', 'even', 'depression']"
Hellooomotto_Rs,"['fkin', 'physician', 'blows', 'tumblr', 'told', 'yes', 'depression']"
QueenCodeine91,"['outtapocket', 'nails', 'battle', 'bitch', 'full', 'always', 'someone', 'well', 'talk', 'hit', 'got', 'dis', 'need', 'stress', 'ever', 'depression']"
rlylame,"['2nd', 'dropped', '1st', 'toxic', 'numb', 'pic', 'relationship', 'harm', 'deep', 'self', 'feel', 'depressed', 'ed']"
1978_harley,"['himso', 'players', 'accident', 'domestic', 'suppose', 'question', 'agree', 'actually', 'ptsd', 'could', 'call', 'also', 'car', 'abuse', 'anxiety', 'depression']"
organicpimping,"['homeless', 'single', 'everyday', 'least', 'pani', 'without', 'struggle', 'week', 'cant', 'depressed', 'go', 'im']"
Astral_medicine,"['healing', 'condi', 'causes', 'major', 'physical', 'two', 'things', 'real', 'anxiety', 'depression']"
egray804,"['disney', 'relationship', 'ruin', 'weird', 'dad', 'gets', 'control', 'boy', 'wont', 'told', 'rest', 'world', 'lay', 'bed', 'actually', 'doesnt', 'hope', 'oh', 'want', 'sleep', 'take', 'life', 'get', 'dont', 'anxiety', 'depression', 'depres']"
tianyusaurus,"['curds', 'dignity', 'bingewatch', 'repetitive', 'meals', 'understandable', 'valid', 'continued', 'injuries', 'cheese', 'everybody', 'eaten', 'youtube', 'hands', 'several', 'stupid', 'dumb', 'answer', 'videos', 'hitt', 'phone', 'sound', 'whats', 'enough', 'okay', 'arent', 'world', 'said', 'row', 'hate', 'thats', 'today', 'really', 'stress', 'eat', 'depressed', 'im', 'depression']"
dapperlass,"['threatens', 'funk', 'worked', 'stressed', 'everything', 'trying', 'hard', 'fo', 'depressed', 'get']"
AveToddHoward,"['blighttown', 'gave', 'ptsd']"
chellebelle011,"['boredom', 'surgery', 'beginning', 'recovery', 'glad', 'finally', 'tomorrow', 'set', 'sucks', 'high', 'sleep', 'could', 'post', 'cant', 'time', 'op', 'anxiety', 'im', 'depression']"
majestic_menace,"['crunch', 'wrap', 'hella', 'loving', 'recently', 'leave', 'alone', 'getting', 'hate', 'got', 'ive', 'depression']"
Vashiekk,"['hib', 'weather', 'cold', 'tried', 'matter', 'brain', 'sleep', 'much', 'got', 'anxiety', 'go', 'depression']"
ZachKirby18,"['zach', 'autistic', '23', 'tough', 'name', '2018', 'tyger', 'kev', 'neil', 'joe', 'phil', 'start', 'sam', 'aj', 'ore', 'im', 'hi', 'thi', 'ye', 'depression']"
liam_deary,"['mightve', 'gays', 'remove', 'august', 'lgbt', 'calls', 'update', 'covered', 'figure', 'apparently', 'weve', 'young', 'half', 'bed', 'phone', 'room', 'wont', 'experience', 'adhd', 'talking', 'okay', 'hour', 'cure', 'month', 'please', 'someone', 'still', 'man', 'depressed', 'dont', 'depression']"
gaydybird,"['borrow', 'driver', 'bricks', 'forced', 'roof', 'hitting', 'proud', 'class', 'morning', 'worse', 'ton', 'mom', 'seasonal', 'amp', 'car', 'let', 'like', 'anxiety', 'go', 'im', 'depression']"
NihilisticNerd,"['basement', 'water', 'animal', 'stream', 'lock', 'food', 'already', 'cat', 'abuse']"
trans_gaymes,"['matrix', 'motherfuckier', 'wiki', 'tasks', 'snowing', 'executive', 'dysfunction', 'prevents', 'failed', 'apologize', 'prescribe', 'snow', 'describe', 'conditions', 'homework', 'forgot', 'autism', 'including', 'medicine', 'community', 'page', 'cancel', 'whos', 'trans', 'caused', 'basic', 'explain', 'term', 'class', 'tried', 'doctor', 'giving', 'group', 'guess', 'pretty', 'adhd', 'brain', 'play', 'god', 'wanna', 'heres', 'everyone', 'die', 'trying', 'used', 'sure', 'please', 'watch', 'fucking', 'didnt']"
