hot_diggity_d, honestly would ive seen first hand effect drugs alcohol depression
lalunaaa_, youre gonna shitty person make joke someones struggle addiction le
sadsaviors, cant tell im crying work double tomorrow little sleep depression
2Tired4Love, dosent even know bad depression ive crying sleep feels like
2Tired4Love, reschedules appointment depression 80th time
2Tired4Love, literally get mini anxiety attacks im put spot getting attacked may seem like ik exactly
2Tired4Love, insomnia probably one worst things could insomnia worse depression
2Tired4Love, rlly need therapist im glad health insurance covers therapy bc turn 18 im applying therapist
Maryali81887888, sorry sending prayers depression throughout life say place
gdog123454, love everything relate soooo much also recovered depression mon
gdog123454, wanna see wins please battle fun tweet would really help depression
graceybsmith, year dealing depression anxiety completely losing person seeming lose every
anniemnesje, knew seasonal depression waitin damn didnt hit hard bro
anniemnesje, anxiety sooo bad school thing helps watching thanks
shanncorridean, dont seasonal depression 100 seasonal laziness thing procrastination doubles time year
nigerianiggeria, logic really thought shit dropped suicide song lmaooo
nigerianiggeria, college allow leave due pregnancy felt depression baby kicking
nigerianiggeria, seasonal depression state doesnt even seasons love brain sometimes real dumb shit
nigerianiggeria, subset depression idea everyone around hates turn hate tha
nigerianiggeria, ultimate goal turning depression aesthetic
nigerianiggeria, every time im end phone call dad instead saying love says thanks thats depression
nigerianiggeria, legit instagram deleting spam literally caused depression clout went started getting pimples
nigerianiggeria, dont even care anymore cause finished two whole bottles depression marley youre reading
nigerianiggeria, anyway depression acting right wanna send titty
nigerianiggeria, ive funny good weeks lmaooo im really depressed depressed
finnard_, went bed early bc depression ive laying dark hours still fallen
finnard_, im kids call depressed
finnard_, somebody spiraling deeper nonfunctional depression
blushingsehun, really proud bts stage mma coolest stage ever hands
blushingsehun, really wish exo bts would kind collab fanwars would end like put show
blushingsehun, think much stress putting friendships
blushingsehun, yall actually disgust armys gotten mean want cry right bts work hard us
blushingsehun, yall kpop stans stan bts kpop stan fuck
blushingsehun, playing ebg may good thing going make put focus bts instead multistan
blushingsehun, biggest moods weekend might actually bad depression
emkglover, hey siri know crippling depression
emkglover, love first day school hate icebreakers much anxiety shit
floza077, protecting children school violence abuse essential developing sustaining thriving societies
turksespinnekop, depression anxiety feeling increasingly stressed exhausted productivity
SilverBullionPL, mickey fulp mass psychology smart money gets first bubble happens dumb
jamsurain, cant wait go antidepressants without symptoms depression bitch gonna crazy
jamsurain, im gonna basically harness powers depression channel sadness forget eat save money lose
jamsurain, everytime meet christian believes gay sin flashback conversion therapy think maybe
Slegers98, dont know theres highs lows depression amp boy great fckin day im fucked
Slegers98, try medication depression bitch weed works way better antidepressants
Slegers98, saw tweet ago said twitter group therapy therapist realized thats deadass tweet
Slegers98, fuck even pretending happy anymore im fucking depressed act depressed im fucking depressed
Slegers98, hes diagnosed bipolar disorder imagine suffers depression ever since
kayla_vasquez, lost confidence something unable get good pictures sent depression
Youngster_Oscar, realizing im gay also depressed 12
Youngster_Oscar, think witnessing several people drop friend particular reason probably depression
cyberbully_jpeg, sad bitch tweet song lyrics 2018 like came shuffle depression spiraling whil
cyberbully_jpeg, honestly relate luckily depression goblins charge ruining life make sure
cyberbully_jpeg, also shoutout getting beat bc public school trauma last thing needed amirite
valntyneelsie, depressed
valntyneelsie, wanna take depression nap long december 19th wake
LokesMichaelis, opened bitch ass depression anxiety control thanks thera
lifejourney_jd, sad one first indications depression back want urge physical pain inflicted
lifejourney_jd, missed therapy appointment today didnt written calendar didnt get reminder call
lifejourney_jd, emotional abuse hard people cant see physical marks causes much
lifejourney_jd, anxiety roof therapy session today happening hospital instead normal place packed
lifejourney_jd, think people bipolar choose kids smartest tell people know
lifejourney_jd, 12anyone else occasionally find therapy confusing complex course took college
lifejourney_jd, maybe heat maybe depression im feeling angry hurt sad maybe stayed
lifejourney_jd, feel way already keep much wraps day day life stigma sh
lifejourney_jd, someone longer meets criteria bpd still allowed participate chats
lifejourney_jd, official still traits longer meet criteria bpd may meet criteria bpd anym
lifejourney_jd, know real life two people schizophrenia gentle caring people stopstigma sicknotweak
lifejourney_jd, times live anyway psychiatrists deal medication aspects talk therapy th
lifejourney_jd, believe im therapy also believe actually combination dbtcbt call arguing self
Halieghaa, wow suddenly skin clear 40 dropped 40 pounds depression gone
ExaybachayLies, question comes mind great depression look like everyone iphone normalc
courtneyrphoto, depression brain constantly telling one likes friends one wants hang
courtneyrphoto, many times cry week far day wow seasonal depression great alone du
courtneyrphoto, depression seriously messing ive slept much past week today practically slept
courtneyrphoto, stan lee lived long life went depression many wars created entire empire superhero
ImTheReasonWhy, whats free intro trauma
queervoyance, 10 hours sleep feel exhausted almost none much energy manic depression
queervoyance, excuse fuckigngg porn still advocate safety wellbeing pornstars
ali, rules inside physics found inside psychology catch within fullness time dont
AlwaysHungry001, dont suffer chronic depression feel days
AlwaysHungry001, ive given ability free anxiety worry peace let go
_ThisIsAndrew, tldr anxiety panic attacks never get easier way regards working weight never gets lig
_ThisIsAndrew, issues mentalhealth issues define mentalillness anxietyattack anxiety
_ThisIsAndrew, video topicgt anxiety panic attacks never get easier way regards working weight never
_ThisIsAndrew, tldr anxiety panic attacks never get easier way regards working weight never gets lig
_ThisIsAndrew, yestheoryfam insecuritychallenge seekdiscomfort suicidalthoughts anxiety depression
_ThisIsAndrew, eventually mentally institutionalized various suicide attempts helped enoug
_ThisIsAndrew, heythisisandrew advocate mentalhealthawareness mentalhealth mentalillness anxiety bpd monophobia
_ThisIsAndrew, heythisisandrew advocate mentalhealthawareness mentalhealth mentalillness anxiety bpd monophobia
_ThisIsAndrew, heythisisandrew advocate mentalhealthawareness mentalhealth mentalillness anxiety bpd monophobia
_ThisIsAndrew, heythisisandrew advocate mentalhealthawareness mentalhealth mentalillness anxiety bpd monophobia
uhf_kyy, bipolar depression yeahh definitely cant smoke thoes meds
uhf_kyy, feel like depressed try depression aint nothing play might
uhf_kyy, wym medicine thats supposed make depressed
uhf_kyy, wish people wo depression could really understand stop sounding crazy amp extra yk
uhf_kyy, go soooo tired depression anxiety amp overthinking
uhf_kyy, separation anxiety boyfriend
uhf_kyy, depression amp anxiety aint fuckin joke yo
AriffImranRafi, cannot jib dont depression wanna bite head hmm
AriffImranRafi, everyone built way cope stress depression well cant serious
samsiragusa, im watching greys dark crying something yet determine take sip depression babes
wizwoe, also zero symptoms schizophrenia havent since teens ptsd ocd adhd severe anxi
fayetience, depression sickness way osteoporosis disease due lack chemicals vitamins
fayetience, im tired hearing people saying people depression weak minds pray
fayetience, iba talaga nagagawa ng retail therapy girl
fayetience, di ba nakakatanggal stress
heck_hailey, whats weird feeling chest hes around oh thats depression
heck_hailey, ive lot emotional trauma last months person used tell everything cut
heck_hailey, im constantly state pain im sure crippling depression ridiculous amount coffee intake
heck_hailey, anyone kittens come play im depressed
heck_hailey, bright unnatural hair color shes probably depressed
rainbowrookiie, wow anxiety bitch
rainbowrookiie, realizing therapy coming absolutely nothing recommended
rainbowrookiie, class tomorrow unfinished assignments depression honeypls step neck
rainbowrookiie, im still depressed trash
bridgettkirk, miss summer already winter depression
KuramaRoseWind, add skype rosewind18com abuse rinse damn ass bitch boy
chanxxrae, okay dont ever post even talk abt stuff like yrs struggling depression fin
chanxxrae, join conversation click tweet bellletstalk bell donate mentalhealth initiatives
rawmanrules, get depression doesnt excuse shitty behavior show thats got
rawmanrules, treat abuse regardless gender anyones partner capable abusive need stop victim
oliveeeoil_, dealing depression anxiety shitty af live smh
oliveeeoil_, ive depressed ass bitch whole weekend dog side whole time ilysm
VanessaR_F10, know depression amp ptsd nightmares shitty thing
VanessaR_F10, depression ptsd amp anxiety draining companions brain know dont let people
VanessaR_F10, listen depression claw depths hellampmake wanna leave bed daysampthats ok youre trying
la_7miracle, suffer depression suicidal thoughts worth living love god loves deserve
la_7miracle, since sunday felt depressed havent death thoughts dont lay bed telling sta
la_7miracle, fast forward church sunday pastor felt lead speak depression suicide revealed hi
la_7miracle, told pastor everything felt night depression feeling empty thoughts dying everything
la_7miracle, youre suffering depression suicidal thoughts talk god help also lead
weoooweooo, depression like dumbpression headache
weoooweooo, think baseline level anxiety past years taking long go even infinitesimal amounts
WriterMichi, many memories associated ptsd right category struggles depression anxiety
WriterMichi, bipolar swing one end spectrum feel top world couple wee
WriterMichi, ideal world would true lifehurts depression recoveryposse recoveroutloud
WriterMichi, hilarious riseabove acoa recoveryispossible healing addiction bipolar bipolarity ptsd
WriterMichi, im tired ignorance fuck judgments fuck stigma riseabove acoa recoveryispossible
xjadeddays, ever made eyeshadow pallet would names like hot dog water depression
xjadeddays, yall come see play pretty cool theres pretty lights cute depressed techs actors sup
Kikooos_, im fuckin grateful man last year time period going major depression
Katedryden_, evangelion coming netflix spring even longer bout seasonal depression
Katedryden_, jake pauls hair gives anxiety tbh also like isnt anything un masculine going bald lol
orangeman20002, really dont see addiction
_mackenzielam_, caused heart disease cancer respiratory diseases motor accidents stroke alzheimers disease diab
_mackenzielam_, mention ptsd acknowledge mentally handicapped people
_mackenzielam_, cant control causes trauma control process react
_mackenzielam_, one born depressed nothing guarantee someone become dep
_mackenzielam_, didnt say depression insanity said reliving past insanity definitio
unknownrelic, thank paul helping cure depression sleep least today
unknownrelic, lt3 thank interpret metaphor depression muse
unknownrelic, woman approaches headphones anxiety existing starts talking barely register
93Y94H, dont follow bts twt
93Y94H, yes bts
93Y94H, trying smile im stress cant
93Y94H, cheesy fuck hate arent bts stan change bts faves anyways im going go
93Y94H, imagine 20 years youve taken every bts poster walls put every album photo cards away
93Y94H, okay point still stans dont think depression thats opinion cannot diagnosis
93Y94H, yeah honestly sad say mistake believe replace bts li
93Y94H, ive seen ppl already calling bts behind bts shadows ppl expecting mu
KagamiNauval, maybe ill happy depression youll never happy peace mind depression youll never peace mind
KagamiNauval, depression first thing greets morning
KagamiNauval, isnt suicide act self defense youre trying kill nibba whos trying kill
KagamiNauval, youre depressed someone says cheer depression real
ListeningCynic, one day hope experience feeling wanting alive instead feeling like stay alive depression
ListeningCynic, depression waking one day finally wanting live remembering person believes simpl
MrsTucciAngell, thanks im going show son ocd amp hates making mistakes hell read say wow
MrsTucciAngell, suicide hotlines united kingdom 116 123 united states 18002738255 canada 800 456 4566 ireland 116
MrsTucciAngell, understand totally son like phrases ocd telling
joosssii, best version im depressed shitty mood trust would make laugh
deminariana, usually dont talk major depression generalized anxiety disorder diagnosed
deminariana, graduated high school im freshman college im majoring psychology idk im gonna degree yet tho shsjsk
KUNClTY, made unpopular opinion thread kpop sucks said xenophobia aside literally stan bts
KUNClTY, slept good week bc stressed fall ugly depressed sleep pattern love progression
JRossfamilymed, list invariably several finally decided address sexual abuse
Tadthedietcoach, gone fair share depression life reposting support anyone may need
DougMaverick, lol dog account going crush twitter sure happy depressed
zeldaaaleyva, im always going fight harder happy anxiety depression never leave fig
zeldaaaleyva, 2013 vs 2018 glow real suffering severe anxiety depression anorexia struggle
m1cha3lo0o, one polymorphisms genotype however may confer advantage may protective depression
bdashfox, still lost depression weight smh
98_dla, really bad depression id really like talk scared people know seeing shit like
EliWebber, dont know ill streaming often im bad financial situation depression getting
MelancholyMango, trying buy 5xl shirt nicholas cages shirt loud suddenly becoming selfaware wow im depressed
MelancholyMango, know weird level depressed get nasty jealous people living normal lives lik
MelancholyMango, winter weather hello suffering seasonal depression suppose shall perish
imnotukrainian, anxiety depression used lightly dont feel comfortable questioning peopl
tooShoort_, peris anxiety drove 40 minutes sleep 4am amp making breakfast
chanwooblossoms, please need help went hospital doctor wasnt psychology psychiatrist
chanwooblossoms, followers im terribly sorry barely talk idols mostly talk depression
____sanii, depression anxiety really hold back lot scared believe know hav
Vichewy, time year put second semester chico transcript aka instant depression
subparlasagna, depression really fucked life career
BirdenaAnn, josh came home flowers wax burner soothing scents favorite scents depression kick
BirdenaAnn, understand people smoke instead taking medicine anxiety
BirdenaAnn, im still depressed robin williams dead
papa_bitch, despite crazy think years ago getting hospital suicide attempt maybe tha
papa_bitch, fuck anxiety man swallow shit fuck
papa_bitch, lol okay make bipolar jokes time way heal laugh big broke brain machine
papa_bitch, pfffft anxiety lol lol lol lol
papa_bitch, caffeine cure depression
papa_bitch, big sick people surprised bad depression day acting like good weeks meant
papa_bitch, good weeks row mean im cured bipolar disorder hi hello
papa_bitch, know say yikes day keeps depression bay
Livineverydays, give advice people dealing depression yet still cant even listen advice
Livineverydays, lot significance marks whole year depression made whole year witho
Livineverydays, telling anyone depression help feel better
Livineverydays, ive thought suicide 50 times month ive cried sleep almost everyday ive gave people
Livineverydays, fine im daughter hiding depression im sister making good impression im friend acting
Livineverydays, tell people im tried fact im depressed tell people ill fine tomorrow know tomorrow
Livineverydays, depression able talk problemswhile taking everyone elses trying hide
dragonhaewk, punk depression loneliness amp bf gf hurts deeper sword cut
ayudaemi, anxiety levels roof im tired gjdkdkg
ayudaemi, mentally handicapped isnt comparable ptsd go guess
ayudaemi, ptsd logic sense parts brain disconnected
Seattle_JC, many people close experienced thing overcoming depression everyone
Sarabridgette18, lot good things life shouldnt depression yeah depression doesnt work way
destiny11908780, kik destinypharmes6546 kik need boyfriend depression disability im 19
destiny11908780, kik destinypharmes6546 kik need boyfriend im 19 depression disability takers
destiny11908780, kik destinypharmes6546 kik need boyfriend im 19 depression disability takers
destiny11908780, kik destinypharmes6546 need boyfriend im 19 depression disability takers
destiny11908780, kik im 19 single depression disability takers
destiny11908780, kik destinypharmes6546 need boyfriend depression disability im 19
destiny11908780, kik need boyfriend im 19 depression disability im new jersey
destiny11908780, kik destinypharmes6546 im 19 need boyfriend depression disability takers
destiny11908780, kik im 18 depression disability takers
destiny11908780, kik destinypharmes6546 kik need boyfriend depression disability takers
destiny11908780, kik destinypharmes10 kik need boyfriend takers depression disability
destiny11908780, kik depression disability takers
destiny11908780, kik destinypharmes6546 single need boyfriend im 18 depression disability
destiny11908780, kik need nice guy life takers willing travel depression disability
destiny11908780, kik destinypharmes1333 kik need boyfriend depression disability im 18
destiny11908780, kik destinypharmes6546 depression disability im 18
destiny11908780, kik im 18 depression disability im new jersey takers
Tyronimron1, good morning thankfully tame saturday ive roller coaster anxiety past day
Tyronimron1, good morning everyone slept majority sadness away feeling alot better depression asshol
Tyronimron1, good day depression hit like brick assholeish sadness amped stream tonight
corderoIynnette, wonder hell feels like fucking depression
corderoIynnette, depressed high
kayleeworkman_, year struggled cried got heart broken dealt depression anxiety lied
RynMrkxHn, already meds therapy
RynMrkxHn, nutty thing ptsd far
RynMrkxHn, also diagnosed bipolar come rough back
RynMrkxHn, still persist remain mindful limitations running either depression
RynMrkxHn, tell soldiers ptsd haunted
SaphireNiight, feelings human nature depression anxiety lie us time reall
zaboomafoo76, someone lab bts shrine
zaboomafoo76, anything angel got bts vhope
zaboomafoo76, still cant believe bts wrote song inspired 52hertz whale story making emotional yea
zaboomafoo76, butterfly fav bts song ive listen love man exquisite taste
zaboomafoo76, bts ageolder two year younger one whole three years young hdjakdhdh ill look list
zaboomafoo76, yeah people born 2000 twitter wild lol bts friends 25 th
zaboomafoo76, remembered funko pop bts figures dont make run hair fits whats point
zaboomafoo76, fell behind nanowrimo yay depression two days write 17k words hahahahahahahah
foulfledgling, therapist told depression dont know means
Ki_IsafuckingG, anxiety soo bad past days havent able sleep waking every hour want cry
Ki_IsafuckingG, need around people winter cause seasonal depression plus actual attitude aint patience
Ki_IsafuckingG, used delete everything go months without social media time depression season come
HeyyoKiddehs, stick ass called anxiety depression
HeyyoKiddehs, faded middle school cant call depression faded
haiItotheking, oops im depressed
supernoirva, test anxiety biggest fucking troll im scared im gon well test thats going make well test
supernoirva, mean say im gon depressed thats bitch asked
supernoirva, anxiety yelling like know know relax aint even serious bruh chill
supernoirva, fave gaslighting game lazy depressed
gaby50395102, grades somewhat decent except class literally giving depression
gaby50395102, lol church adults still think teenagers depressed struggling things ove
gaby50395102, happysad season im honestly glad stress worrying lol
b_malikowski, lot good things life shouldnt depression
kellllyy__, serious question ask okay whats wrong feel great depression
kellllyy__, caused anxiety attack started thinking life life
HiNightVale, checking symptoms depression wow might actually depression
peytonnns, thank god better send videos post dan shay concert depression
regal_kyle, deal serious social anxiety depression etc know someone ver
Ollie63648817, ive started cutting 2016 due abuse ex bf latlely ive gone back cutting every day depressi
promiscuousdrew, push need get back therapy nothing gets nut
promiscuousdrew, depressed jerk new low never thought would get
promiscuousdrew, people wo depression getting sad depression
promiscuousdrew, sex hasnt cured depression yet hmmm probably sexs fault mine
promiscuousdrew, people tl comparing adhd bipolar
sarahhhspeaks, depression lives home cannot escape rude
KnightLife360, im mess feel like im suffering form ptsd wake early work wake
KnightLife360, said someone collect medical data related depression anxi
OffbeatBoop, yyyyyup feel time stave depression getting flow creative activity nice night
DrakeHusky, know well anxiety trying step back take easy try put energy elsewher
DrakeHusky, level lately anxiety stress high blood pressure hug thankful family friends debt
DrakeHusky, burn recently work months due anxiety getting control stressdepr
DrakeHusky, anxiety really doesnt want life days
DrakeHusky, told shouldnt skip christmas trying hold together anxiety dont know
moolawgoat, thats thats depression works im sorry deal people think
moolawgoat, oh nice hopefully fun lower stress
RlZOTTO, depression im going draw stuff
momo32463, james dont listen nay sayers depression crazy crazy thing
momo32463, didnt understand depression got
SaraCamposano12, mothafucker said arent hdtv bitch im adhd
SaraCamposano12, im adhd coke
SaraCamposano12, caffeine addiction
damBC, blessed depression anxiety
itsthekeegster, one right depressed doesnt reason behind
itsthekeegster, anxiety discovering youve lost hoodie w2s day somehow
itsthekeegster, post depression though
itsthekeegster, anxiety thing fuck right guess thats new years resolution
whinniedahpoo, thats abuse power wtf sorry experience sounds awful
whinniedahpoo, lifetime mental physical abuse family still find seeking affection approval times
whinniedahpoo, dont spread thin let holiday conversations stress handle today
whinniedahpoo, horrible weekend filled stress exertion followed worst migraine ive long tim
IoseyouaIittle, took fat depression nap today played bc school tomorrow im tired
IoseyouaIittle, jack attacks caffeine addiction every day
IoseyouaIittle, bts playing bluenotes interesting
jenhearttaken, yes coming someone also struggled addiction def possibl
jenhearttaken, exactly dont lose interest type stuff addict addiction ye
jenhearttaken, helped anxiety much upset thinking
jenhearttaken, mention depression anxiety ptsd many debilitating illnesses
gingersn4pp, hard work passion anxiety
luvkalore, im tired birth control making irritable like already depression hm maybe hormonal bc wasnt
luvkalore, watching tik toks relieve anxiety one biggest vices
luvkalore, vivid dream attempting suicide woke shaking lolz need smoke
luvkalore, read stress cause hives im like
shawnottostyles, know depression lost nearly friends cant talk anyone
edcatedguess, waking depression nap remembering assignments havent started exam days
edcatedguess, bad part winter cold snow seasonal depression salt stains ice good part dogs coats booties
edcatedguess, first centrifugation biology career today im still depressed
edcatedguess, halloween depressed halloween mean every day life
Jojo_ShitBot, would win gelato depression dont fair fight
Jojo_ShitBot, would win shigechi depression dont fair fight
Jojo_ShitBot, would win jonathan depression dont fair fight
Jojo_ShitBot, would win joseph depression dont fair fight
Jojo_ShitBot, would win oldseph depression dont fair fight
Jojo_ShitBot, would win mista depression dont fair fight
Jojo_ShitBot, would win melone depression dont fair fight
Jojo_ShitBot, would win speedwagon depression dont fair fight
Jojo_ShitBot, would win anubis depression dont fair fight
drey_padore, like honestly dont energy ever depression right
bitchchakra, havent even graduate high school yet already post graduation depression
MiauMason, year clinical psychology focusing unipolar depression looking dsmivtr every
MiauMason, gttravel hour get jd gttoo much anxiety using card gttakes right amount money gtstudent discount
MiauMason, lil psychology
softonia_, want good day today depression
tooswt34, long remember battled depression debilitating anxiety nearly 50 yrs old thoug
elizabeth_alyce, grateful fur baby suffer anxiety depression lot people dont know espe
elizabeth_alyce, sometimes genuinely hate twitter run animal abuse videos make cry hurt knowing
mizcrazEbun, life would better didnt mental illness two takeawaythispain mymindischaos mentalillness
mizcrazEbun, ptsd ptsdrecovery ptsdawareness mentalillnessawareness mentalillness depression depressionisreal depressionawareness
mizcrazEbun, past couple days ive feeling incredibly overwhelmingly depressed point tears wish
mizcrazEbun, hello anxiety old friend
mizcrazEbun, warrior smiles ptsdrecovery ptsdawareness mentalillnessawareness mentalillness
mizcrazEbun, mentalhealthawareness
FFSAmerica2018, kind reverse psychology
keralynn33, wish didnt depression
keralynn33, depression joke
astarwarstori, depression real didnt eat week half surgery didnt sleep kinda
astarwarstori, thinkin bout goin back therapy
caileynrich, think jerking depression positive correlation
IndigoxBeauty, depression
omeedincognito, depression
omeedincognito, crippling depression
omeedincognito, used depressed funny im depressed horny
Taiponite, really want go homei literally told depression bullshit feelings bullshit
Taiponite, ive hit bad depression work dont talk anyone anymore dont even energy
ohanaaaa, hialexthank coming japani suffering serious depression cheered
meflynnpolsci, extent depression anxiety situational grad school going great fix part
meflynnpolsci, guess selfimposed anxiety sometimes takes minute tell exactly bad going
meflynnpolsci, great thread became incredibly depressed first yearthe whirl adjusting new community prep
miaa_macias_, post concert depression concert didnt even go
hilegendsonly, lot sneak diss bts discredit success scared say yall hate ha
hilegendsonly, live world bts accused copying culture lmfao say hate bts reason go
hilegendsonly, one customers today wearing bts hoodie told happy made know local
hilegendsonly, hey still depressed howms everyone else
hilegendsonly, anxiety literally taking life recently pretty manageable idk im gonna make
hilegendsonly, learn hype faves without discrediting bts success challenge
hilegendsonly, bts would think would first get official solo debut
hilegendsonly, hope bighit doesnt try make new group measure bts pressure label alone lot
jyutoes, yeah depression
whimsybiologist, suckitup mentality exactly much depression teens really think case
whimsybiologist, person talk depression maybe think im dramatic show
whimsybiologist, someone looking see okay person talk depression talking
LeahDAndrade1, either pregnant depressed doh see man depression lmmaoo mother outtertiming bad sometimes
nourhanmoez, teacher never gives right abuse students young ones use harsh embarrassing way
not_a_stalker, miss dead pimp guy must week 45 depression anxiety
jesuseatingcorn, eek eek prayed last night someone talk depression neck today sor
VarchiePolls, fetus amp dont know kjmila depression spam varchie
TiannaSecord, hey anyone sees anxiety feel itll okay breathe depression
_kelbs24, want make everyone aware winter depression thing dont understand amp sucks
_kelbs24, hate get depressed ass moods im bitch everyone cant help
damnriina, someone understands amp help cope anxiety amp depression amp really couldnt blessed
ambivalent73, say addiction overdose two equivalent od form addictive categories
ambivalent73, whenever chronic anxiety depression low selfesteem helps greatly
ambivalent73, anxiety depression whether climate change else survivors guilt
ambivalent73, id like share experience may concern human psychology spiritual pre
sadfishy_, completely agree amp depressed mean lot symptoms struggle amp
sadfishy_, living small town great ya lot social anxiety cant leave house without running someone know
sadfishy_, want know exactly went happy vibrant kid depressed miserable fuck
sadfishy_, true actually read people suffer mild depression tendency
sadfishy_, like everyone ever felt sad point lives seems think theyre expert depression
sadfishy_, really miss days everyone knew depression could lie hide isolate feel like
sadfishy_, explain friends depression constant thing without taking shes never enjoy
sadfishy_, even whats supposed happy day hate depression doesnt let enjoy feel wo
sadfishy_, agree gotten anxiety attacks amp know cant speak whats going
sadfishy_, thoughts depression coming someone cant accept mdd diagnosis think
sadfishy_, social anxiety settle like one fucking minute pls thnx
sadfishy_, almost feel like hypocrite posting bc im currently psych ward suicide attempt amp still doin
sadfishy_, every time open someone depression feel slight moment relief theyre understanding amp
sadfishy_, know bad depression got try get ahead one
sadfishy_, see pieces amp traits symptoms point depression like still
sadfishy_, always good missing dose thats issue anxiety definitely increased
MissEssieG, surprised high rate depression amp anxiety attacks among phd students doesnt li
danacbell, uh yah november bet bottom dollar sad sadness depression
iIyjjun, literally stan bts
iIyjjun, know art projects due wont stop staring blank sketchbook page depression daze
dolxnLimelights, people make fun disorders ex dyslexia anorexia depression anxiety etc annoys
dolxnLimelights, gray didnt know least didnt film fucking suicide dead body knowing one fuck
nennienerd, tonight one nights remind depression lies stronger
nennienerd, new addiction mine like instant soft chocolate chip cookies
keatynh, ive never seasonal depression til last year years preoccupied school wor
AnAwkwardBrando, right really wanna know gonna actually make clinically depressed
SweetenerAne, young know depressed ok shut fucking mouth anxiety choice born
SweetenerAne, ok say something suicide choice option take depression makes
cryto_princess, year struggled cried got heart broken dealt depression anxiety lied rejected
cryto_princess, need therapy random thoughts
kaitlynnhrey, weeks ago life made 360 recognized fell back terrible depression bad anxiety iv
kaitlynnhrey, ive two full blown anxiety attacks dogs keep randomly going crazy barking things amp time
SarahGreenTx, yall ive sever anxiety depression whole life meds since college let tell yall
souI_punk, severe depression im afraid friends hate
chmicI, strange sounds give anxiety dont watch video chest heavy im scared
faeriegoth, hmm ok well ive continually depressed think safe say thing ant
faeriegoth, acc really love therapy group im sad gonna end point
faeriegoth, took pic makeup editing thot cute hope liberate depression
faeriegoth, ugh feel shit lately know im depression blob need fuckin someth
faeriegoth, went therapy still feel grey alive really boring uno
faeriegoth, went even though im horribly depressed anxious amazed power
faeriegoth, please stay safe im struggling depressive episode bpd know hard see
WhenHavingADay, posted depression stuff seemed similar dealt
snjarsteinn, depression
xrianxgrande, dude swear im ocd abt certain things
jacob_redeker, dating part yall tell ive single since great depression
SpikeyMouth, im still depressed lonely lol get wow thanks im cured
cactille, offense feel like game designed people depression kind mental illness
MacAdamsErotica, yeah tbh us push people away bc depression case bipolar disorder
MacAdamsErotica, love much someone whos bipolar ive lost friends months depression know
MacAdamsErotica, anxietyproblems anxiety
LadyMhere4u, depressionisreal mentalhealth protect heart old wounds still bleed
LadyMhere4u, told end bipolar youve physically mentally sexually abused true
LadyMhere4u, told bipolar empath symptom least one
angeIkil, tl yall know depression
Infinimeme, currently processing end day work another days depression
Infinimeme, theres one line d2 still think failsafe cheery help depressed im
DWilly12, forget like winning team sport depression real
eyeliveonmusic, eve 25th birthday heartburn anxiety crippling depression seems fitting
eyeliveonmusic, wonder anxiety driving step dad drives like prick gets close cars scare
eyeliveonmusic, cause god knows cant even deal anxiety
eyeliveonmusic, shout anyone deals anxiety thank without dont think could
eyeliveonmusic, sometimes go public im afraid wear got7 shirt hoodie bts shirt im afraid im
eyeliveonmusic, post watered crops cured depression congrats
eyeliveonmusic, honestly cannot even ride car without getting extreme anxiety panic attacks dont think
eyeliveonmusic, im stuck im exhausted depression mode im typical depressed im lost tired
imaplacebo, idk holiday stress end year sucky weather impending doom anot
imaplacebo, book called overcoming depression couldnt get halfway selling
imaplacebo, used check million books spirituality mental health depressed read
imaplacebo, anxiety full effect today
hucknxll, took 2hour nap calm fucking anxiety feel even worse want die tomorrow
hucknxll, mental health deteriorating quickly af three weeks full exams depression anxiety love
HomelessDerry, always hate bothering doctor honest need sleep mind needs stop racing anxiety
HomelessDerry, anxiety
HomelessDerry, depression anxiety led drinking led marriage break led homelessness led hopele
HomelessDerry, anxiety cripples penny thoughts take free
OfWonderless, thanks offering though would said yes didnt wanna curl ball depression right
wonderinginger, idk anxiety depression verge tears day
wonderinginger, dont think know lot anxiety knows havent felt safe
VistheGucciking, best 1st year bts cant wait many
VistheGucciking, bts first kpop group stanned discovering soo many kpop gr
graciaaam, anxiety seasonal depression make isolate thats exactly want
graciaaam, driving work worst thing ever anxiety never high hate drivers dont signal
marks_tay, want talk hmu depression isnt joke im understanding person 9016531146
Scribbled_Death, oh stress headaches missed
Scribbled_Death, oh man used draw 10 hours day depression whipped ass much years gone dra
braxtonchash, yeah last episode bts great play scene kiss reveal
braxtonchash, havent played original hot minute favorite episode would probably favorite bts
braxtonchash, depression anxiety always following around
RelationshipsWk, colleague michele weinerdavis divorcebusting expert explains two reasons couples therapy
RelationshipsWk, great suggestions really help friend loved one struggling depression really
RelationshipsWk, sometimes anxiety come anger read truisms anxiety holidays really push yo
RelationshipsWk, dont one thing hurts friendship psychology today
RelationshipsWk, youve ever someone cheat understand allconsuming feelings worry anxiety preventing
kdebuscaa, taking way many depression naps
thepsikid, difference normal people us depression suicide thoughts get top bu
thepsikid, older get feel burden fake life depression every fake smile takes another
thepsikid, mom sister tell someone know committed suicide first thought lucky th
thepsikid, text friend sorry bud phase snap like thats works depression peopledontgetit
thepsikid, get take four flights weekend might one doesnt pray safe landing readytoleave depression
thepsikid, events functions planned life death always remains one want depression suicide
thepsikid, one fighting world makes seems like fighting live doesnt matter depression
