Sibusiso_Mtambo,"['mighty', 'jesus', 'tonight', 'broken', 'pray', 'name', 'family', 'mental', 'every', 'depression']"
savagexrebel,"['useless', 'chronic', 'concertgoer', 'relentless', 'ruthless', 'shift', 'miserable', 'deeper', 'outcome', 'faith', 'dolled', 'frizzy', 'receptive', 'supposed', 'healed', 'except', 'allowed', 'growing', 'heartl', 'consumes', 'idc', 'naturally', 'despair', 'anytime', 'wanna', 'bear', 'three', 'numb', 'trash', 'blame', 'concept', '22', 'absolute', 'shes', 'straight', 'focus', 'positive', 'simple', 'hair', 'thats', 'wasnt', 'anymore', 'soon', 'levels', 'fall', 'level', 'believe', 'fact', 'isnt', 'yall']"
BitterSDFan,"['unfortanatelyso', 'media', 'psychotic', 'looks', 'social', 'angry', 'anger', 'bitch', 'rest', 'lack', 'sick', 'got', 'person', 'life', 'stress', 'real', 'like', 'depressed']"
ionajaneX,"['holder', 'sends', 'overdrive', 'locked', 'key', 'shop', 'money', 'literally', 'put', 'sa', 'anxiety']"
ice_prizma,"['disease', 'ended', 'worldsuicidepreventionday', 'transferred', 'psl', 'narcotics', 'opioidepidemic', 'epidemic', 'suicideprevention', 'two', 'lost', 'friends', 'pain', 'addiction', 'matters', 'fall', 'years', 'last', 'miss', 'ends', 'may', 'mentalhealth', 'much', 'ive', 'suicide']"
Dictator_Fleki,"['xd', 'sexy', 'forever', 'rather', 'couple', 'deep', 'feels', 'guess', 'months', 'name', 'lets', 'last', 'might', 'deal', 'years', 'know', 'depressed', 'depression']"
AzeemOthman,"['nowhat', 'choice', 'publicly', 'spectacle', 'disrespectful', 'isnt', 'make', 'suicide']"
CastleofGlass89,"['affects', 'darkness', 'publishing', 'invisibilizing', 'walls', 'method', 'altogeth', 'closing', 'seasonal', 'cold', 'felt', 'agree', 'music', 'come', 'never', 'feel', 'really', 'way', 'time', 'tho', 'suicide', 'like', 'ive', 'anxiety', 'depression', 'ho']"
hxnnxhr98,"['determined', 'pages', 'leadley', 'entirely', 'askdodie', 'levels', 'motivation', 'bearable', 'town', 'meet', 'sister', 'meeting', 'practically', 'existent', 'however', 'reminding', 'shouldnt', 'psychology', 'slightly', 'gotta', 'dealing', 'roof', 'non', 'sound', 'different', 'walk', 'making', 'story', 'done', 'best', 'lot', 'keep', 'morning', 'atm', 'everything', 'doesnt', 'attack', 'work', 'today', 'going', 'cant', 'fuck', 'way', 'anxiety', 'tha', 'like', 'go', 'im']"
reenah45,"['haih', 'yalls', 'manage', 'coffee', 'broke', 'money', 'literally', 'addiction', 'fucking', 'still', 'use']"
MomoHearts77,"['mma2018', 'pics', 'saga', 'yoongi', 'awardsmma2018', 'comgrats', 'traditional', 'beautifulbtsatmma', 'fudge', 'costumes', 'solos', 'members', 'jhope', 'jungkook', 'pimps', 'army', 'tumblr', 'opening', 'fast', 'btsatmma', 'blessed', 'tae', 'collab', 'mins', 'treats', 'political', 'btw', 'sexy', 'culture', 'global', 'bts', 'insta', 'winning', 'artist', 'idol', 'showed', 'korean', 'tonight', 'straight', 'hair', 'create', 'account', 'change', '30', 'another', 'anyone', 'getting', 'sometimes', 'years', 'going']"
TafrhistY,"['personnally', 'sometimesi', 'hardships', 'songs', 'found', 'love', 'self', 'really', 'depression']"
NorciaVincent,"['cut', 'bad', 'suicidal', 'depressed']"
safanta92,"['tidur', 'yang', 'saya', 'sebulanan', 'kali', 'pokoknya', 'kalau', 'jaga', 'adalah', 'pelaku', 'lebih', 'memilih', 'jalan', 'lagi', 'mutermuter', 'rehatsejenak', 'rasa', 'dilecehkan', 'secara', 'seksual', 'membuat', 'sangat', 'dalam', 'apalagi', 'untuk', 'pasti', 'ngebuat', 'ngga', 'bisa', 'jadi', 'minum', 'obat', 'utk', 'jika', 'kr', 'luka', 'mungkin', 'kurang', 'tepat', 'tapi', 'kalian', 'diberi', 'kemudahan', 'sehingga', 'tidak', 'mengalami', 'susah', 'sem', 'baru', 'batin']"
suicidal_krupux,"['license', 'soon', 'going', 'need', 'suicide']"
ehornswoggle,"['plummeted', 'seventh', 'circle', 'recently', 'severely', 'saying', 'havent', 'hell', 'also', 'depressed', 'im', 'se']"
RumiCat99,"['purposeful', 'professors', 'example', 'reflect', 'andmetimes', 'reminder', 'events', 'course', 'assign', 'tough', 'knowing', 'true', 'without', 'might', 'always', 'ocd', 'support', 'illness', 'harm', 'also', 'much', 'abuse', 'mental', 'people', 'get', 'wor', 'suicide']"
parkminrin98,"['got7', 'seventeen', 'day6', 'bigbang', 'ikon', 'winner', 'shinee', 'kpop', 'exo', 'excited', 'multifandom', 'nct', 'yah', 'fact', 'twitter', 'bts', 'hey', 'new', 'im']"
maximoffstyIes,"['lazy', 'assignments', 'quizzes', 'performed', 'academically', 'offence', 'college', 'extremely', 'gives', 'drop', 'wasnt', 'prof', 'school', 'ready', 'give', 'sometimes', 'could', 'bad', 'well', 'much', 'think', 'anxiety', 'like', 'im']"
LamentMyIcarus,"['recording', 'hilarious', 'ahead', 'afraid', 'often', 'youre', 'told', 'abuse', 'go']"
midnightdemon2,"['spsm', 'returned', 'appt', 'hyponatremia', 'siadh', 'berserk', 'happened', 'foot', 'swear', 'cancel', 'went', 'break', 'another', 'feeling', 'going', 'nothing', 'right', 'hate', 'happ', 'low', 'never', 'therapy', 'thing', 'depressed']"
Ramadhern,"['contagion', 'exposure', '2014', 'demise', 'robin', 'williams', 'houses', 'publicised', 'suggests', 'acquire', 'indirect', 'phenomenon', 'discovered', 'conducting', 'guidelines', 'reporting', 'conform', 'highly', 'direct', 'learnt', 'familiar', 'media', 'study', 'concept', 'anyway', 'showed', 'research', 'sure', 'may', 'thoughts', 'person', 'suicide', 'even', 'day', 'suicidal', 'us']"
ThruDangrsUntld,"['moments', 'yall', 'sleep', 'get', 'ever', 'depressed']"
witchingstar,"['werent', 'turning', 'snapped', 'ditch', 'palpable', '700', '330', 'trouble', 'planner', 'workaholism', 'curl', 'beeb', 'cuddly', 'hospitalization', 'unbelievably', 'crumbling', 'aunt', 'joys', 'afterwards', '1318993', 'improving', 'buh', 'grandmas', 'declining', 'apathetic', 'overwhelmed', 'yelled', 'void', 'buying', 'keeps', 'addictions', 'sucked', 'coworker', 'options', 'journal', 'source', 'goodness', 'dunno', 'exhausted', 'change', 'alcoholism', 'sudden', 'wants', 'sucks', 'period', 'bad', 'rough', 'scream', 'play', 'fail']"
briandecker902,"['nothings', 'diffrent', 'teenager', 'earth', 'wrong', 'else', 'anyone', 'suicidal', 'im', 'depressed']"
Ersych,"['respecting', 'caring', 'ingredients', 'chocochip', 'cookies', 'respected', 'choose', 'respect', 'others', 'bring', 'wellbeing', 'world', 'please', 'live', 'come', 'thank', 'someone', 'make', 'get', 'depressed']"
spidrmami,"['confirmed', 'drinkssmokes', 'abused', 'lemme', 'regularly', 'heroin', 'pls', 'hello', 'date', 'months', 'ptsd', 'saying', 'panic', 'okay', 'someone', 'yes', 'getting', 'attack', 'start', 'night', 'addict', 'last', 'top', 'never', 'thing', 'ever', 'anxiety', 'im']"
parkerrr_k,"['praying', 'trauma', 'get']"
eagle_dahyun__,"['teeth', 'gonto', 'yucky', 'keeps', 'triggering', 'seen', 'tip', 'therapist', 'talking', 'twitter', 'havent', 'gonna', 'actually', 'therapy', 'feel', 'suicide', 'im']"
hxnjxsxngg,"['throwup', 'dizzy', 'lowkey', 'hella', 'yay', 'going', 'feel', 'ugh', 'like', 'depressed']"
Beckie08,"['téa', 'knocking', 'evil', 'proud', 'suffering', 'done', 'keep', 'hope', 'something', 'tell', 'feeling', 'much', 'get', 'day', 'thing', 'suicidal', 'depression', 'anxiety', 'im', 'one', 'ha']"
LindfordHedgies,"['brilliant', 'nights', 'episode', 'session', 'fact', 'last', 'therapy', 'like']"
DepressedWBlack,"['lowcost', 'survivor', 'pay', 'allllll', 'jokes', 'smh', 'adrenaline', 'masks', 'yolo', 'goodsmh', 'talkspace', 'overspends', 'depressionfree', 'bills', 'proportional', 'cbt', 'innovative', 'approaches', 'effective', 'essentially', 'explicit', 'lessens', 'shook', 'expensive', 'truhas', 'goes', 'problematic', 'moving', 'youll', 'sounds', 'messed', 'difficult', 'selfcare', 'teenager', 'father', 'includes', 'dbt', 'emdr', 'traits', 'options', 'eventually', 'trash', 'complain', 'attempt', 'surprised', 'gotta', 'cost', 'cuz', 'slow', 'front']"
Alexnyc24Seven,"['project', 'catcher', 'mk', 'ultra', 'monarch', 'programming', 'httptco7wuxufc9hh', 'based', 'control', 'soul', 'todays', 'via', 'trauma', 'mind']"
makeitren_,"['admit', 'although', 'hospital', 'glad', 'therapist', 'attempt', 'made', 'going', 'suicide', 'im']"
CarolynCNowak,"['greatest', 'twats', 'undiagnosed', 'generation', 'lord', 'damn', 'tomorrow', 'kids', 'maybe', 'hot', 'ptsd', 'fucking', 'thank', 'got', 'also', 'person', 'would', 'therapy', 'depressed']"
caraghpoh,"['filthy', 'glasses', 'realize', 'clean', 'sometimes', 'getting', 'need', 'think', 'depressed', 'im']"
HeeeyGK,"['unnecessary', 'pulling', 'worry', 'everything', 'sen', 'thats', 'back', 'need', 'stress', 'anxiety']"
ofanobody,"['suicideawareness', 'responding', 'increased', 'euthanasia', 'suicideloss', 'selfcareweek', 'incresed', 'dyslexia', 'planning', 'nhs', 'suicideprevention', 'feelings', 'difference', 'numb', 'psychiat', 'mentalhealthawareness', 'medication', 'treatment', 'well', 'meds', 'talking', 'getting', 'mentalhealth', 'times', 'feeling', 'want', 'therapy', 'dont', 'suicide', 'get', 'suicidal', 'depression']"
heavymisery,"['lowkey', 'mild', 'guidance', 'whip', 'food', 'wanna', 'psychological', 'counselor', 'kicking', 'vibes', 'seems', 'finally', 'test', 'understand', 'said', 'school', 'cry', 'made', 'mom', 'die', 'commit', 'got', 'time', 'take', 'still', 'really', 'ok', 'depression', 'suicidal', 'like', 'depressed', 'suicide', 'im', 'one']"
pineapplebiggs,"['gals', 'cuddle', 'punishment', 'ripping', 'loophole', 'emetaphobia', 'passion', 'hasnt', 'ppl', 'apart', 'girls', 'straight', 'talked', 'type', 'worryin', 'sick', 'upset', 'hug', 'worst', 'theyre', 'hate', 'honestly', 'best', 'bein', 'always', 'around', 'anyone', 'week', 'say', 'doesnt', 'stigma', 'right', 'somethin', 'could', 'friend', 'feelin', 'need', 'stress', 'bi', 'ill', 'anxiety', 'depressed']"
fragilestardust,"['relieving', 'hook', 'suffers', 'depressive', 'smoking', 'started', 'probably', 'bc', 'mom', 'disorder', 'got', 'thought', 'stress', 'feel', 'like', 'depressed']"
fadingxwxy,"['shutting', 'overwhelming', 'none', 'slowly', 'dumb', 'body', 'eating', 'disorder', 'anxiety']"
cantstalkmenow,"['kinda', 'moving', 'country', 'pulling', 'apart', 'cute', 'enough', 'girl', 'another', 'right', 'top', 'come', 'much', 'cant', 'need', 'fuck', 'stress', 'suicidal', 'depressed']"
ndinimz,"['whinny', 'klu', 'xyah', 'sgt', 'bknnya', 'buat', 'tension', 'lah', 'report', 'jus', 'powe', 'present', 'nak', 'strong', 'ada', 'kid', 'first', 'well', 'still', 'year', 'really', 'stress', 'tu', 'ill', 'suicidal', 'depressed']"
blondedjosie,"['marry', 'ugghhhhhh', 'lole', 'compliment', 'please', 'sure', 'call', 'feeling', 'help', 'anxiety', 'depressed']"
edwinragas_,"['kingina', 'niyo', 'wanting', 'nagsalita', 'ulit', 'pagtawanan', 'dahil', 'tingin', 'nakakatuwa', 'edgy', 'venting', 'ako', 'heavy', 'itll', 'ngayon', 'lang', 'pero', 'battle', 'funny', 'alone', 'written', 'happens', 'parents', 'answer', 'wonder', 'told', 'sorry', 'making', 'note', 'already', 'fun', 'cry', 'ko', 'many', 'youre', 'actually', 'sometimes', 'care', 'night', 'bad', 'late', 'ins', 'mind', 'call', 'would', 'someone', 'someon', 'say', 'really', 'fuck']"
yyslovebot,"['conditional', 'isstupid', 'suddenly', 'lmaooooooo', 'sunday', 'chloe', 'hurts', 'lmao', 'tiny', 'college', 'wall', 'holiday', 'away', 'gotta', 'parents', 'guess', 'session', 'sad', 'hang', 'best', 'wait', 'fucking', 'talking', 'god', 'bc', 'something', 'hear', 'die', 'night', 'oh', 'long', 'therapy', 'much', 'talk', 'till', 'cant', 'life', 'really', 'want', 'dont', 'people', 'go', 'ive', 'depression', 'im', 'ur', 'depressed']"
wanderingsameer,"['divorced', 'husbands', 'pubg', 'news', 'women', 'says', 'lmao', 'due', 'addiction', '20', 'read']"
AuthorDanJones,"['conversation', 'mirroringhands', 'hypnosis', 'mindbody', 'healing', 'meditation', 'counselling', 'reluctantly', 'selfemployed', 'autistic', 'actuallyautistic', 'following', 'becoming', 'reduce', 'individual', '44', 'undiagno', 'latest', '34', 'part', 'job', 'story', 'sleep', 'mentalhealth', 'last', 'therapy', 'amp', 'stress', 'suicidal', 'depressed']"
xceeceee,"['happiest', 'always', 'days', 'year', 'get', 'dont', 'depressed']"
crystalteared,"['grades', 'infront', 'freaking', 'campaign', 'important', 'swear', 'cancel', 'violence', 'reading', 'especially', 'parents', 'movie', 'wellbeing', 'sorry', 'crying', 'god', 'anti', 'bts', 'cry', 'gonna', 'makes', 'mad', 'hate', 'dont', 'never', 'would', 'see', 'think', 'people', 'im', 'pr']"
yoshisunwoo,"['schizophrenic', 'tune', 'store', 'big', 'anxious', 'mom', 'week', 'child', 'see', 'really', 'go', 'depressed']"
GinaFatale,"['heartless', 'living', 'wellbeing', 'whole', 'care', 'person', 'help', 'son', 'ch']"
Killarybanks,"['basically', 'system', 'others', 'told', 'wish', 'support', 'feeling', 'amp', 'suicidal', 'like', 'depressed']"
Hulkindex,"['accelerating', 'dumb', 'boy', 'giving', 'sometimes', 'oh', 'car', 'anxiety']"
__BRAT_,"['propose', 'public', 'social', 'please', 'disorder', 'take', 'cant', 'dont', 'anxiety']"
magskathryn,"['breakdown', 'front', 'literally', 'trying', 'attack', 'everyone', 'love', 'bus', 'anxiety', 'im']"
raawwr_xD,"['blue', 'blood', 'tears', 'genderless', 'friendless', 'meaningless', 'trashy', 'anxietys', 'depresssd', 'obssesed', 'mcr', 'publicbut', 'remeber', 'harmect', '246', 'cures', 'hewp', 'band', 'social', 'lonely', 'didnt', 'wish', 'obsessed', 'killing', 'trash', 'starting', 'attacks', 'realize', 'knowing', 'emo', 'comes', 'works', 'feels', 'making', 'panic', 'first', 'another', 'alone', 'friends', 'please', 'great', 'kill', 'something', 'attack', 'care', 'good', 'thoughts', 'less', 'red', 'try']"
fortgalahad,"['reminded', 'egil', 'dramatic', 'flies', 'mech', 'witnessed', 'walked', 'scene', 'gay', 'shout', 'wow', 'public', 'away', 'hes', 'thats', 'good', 'also', 'person', 'abuse', 'every', 'thing', 'like', 'depressed']"
SJSior,"['fantasy', 'asleep', 'fant', '34k', 'nanowrimo18', 'distract', 'created', 'reached', 'track', 'engage', 'breakdown', 'fall', 'full', 'trying', 'could', 'lot', 'mind', 'today', 'mental', 'get', 'suicidal', 'anxiety', 'depression']"
TheBigCahoona,"['54', 'planet', 'considering', 'chronic', 'entire', 'damn', 'suffered', 'serious', 'giving', 'attack', 'years', 'ive', 'anxiety', 'depression']"
elliebun_,"['exists', 'well', 'depression']"
connertroi__,"['leader', 'ruin', 'open', 'past', 'honestly', 'maybe', 'bc', 'happy', 'dam', 'everything', 'actually', 'try', 'ya', 'would', 'want', 'dont', 'suicidal', 'men', 'ive', 'ever', 'anxiety', 'depressed', 'im']"
_smiley_face_32,"['headaches', 'comb', 'action', 'concert', 'mood', 'post', 'literally', 'good', 'still', 'day', 'depression']"
kinobff,"['busy', 'movin', 'active', 'dealing', 'levels', 'havent', 'high', 'bts', 'dont', 'stress', 'like', 'ive', 'anxiety', 'im']"
harveycullen15,"['coz', 'private', 'helps', 'running', 'account', 'lil', 'bitch', 'might', 'also', 'make', 'depressed', 'im']"
SAIK0M,"['representing', 'country', 'embarrassing', 'concept', 'dude', 'korean', 'beautiful', 'groups', 'saw', 'bts', 'call', 'also', 'lat', 'way', 'fa']"
txhippie52,"['housebound', 'struggled', 'currently', 'major', 'extreme', 'idea', 'suicidal', 'anxiety', 'depression']"
ehiwannadie,"['thankful', 'sarcasm', 'grip', 'calls', 'yrs', 'clear', 'hotline', 'answer', 'diagnosed', 'therapist', 'pretty', 'fucking', 'maybe', 'sign', 'since', 'trying', 'bipolar', 'doesnt', 'shit', 'stop', 'old', 'tell', 'thank', 'thoughts', 'love', 'would', 'need', 'really', 'think', 'like', 'dont', 'peop', 'feel', 'suicidal', 'depression', 'ive', 'depressed', 'suicide', 'im']"
Bcofthemonster,"['stronger', 'hello', 'youre', 'oh', 'back', 'ever', 'depression']"
jessicaannee95,"['staystrong', 'makechesterproud', 'jessicaannee', 'reminder', 'mentalillness', 'todays', 'anotherwith', 'suicidalthoughts', 'sunset', 'positivevibes', 'journey', 'positive', 'clean', 'built', 'loved', 'judgement', 'lpfamily', 'sticking', 'mentalhealthawareness', 'negative', 'quote', 'judging', 'sicknotweak', 'sick', 'seriously', 'days', 'option', 'proud', 'kind', 'suicideprevention', 'remember', 'worth', 'understand', 'miss', 'ju', 'hey', 'many', '18', 'harm', 'stigma', 'stop', '20', 'things', 'good', 'thank', 'self', 'feeling', 'never', 'amp', 'way']"
gothicyangel,"['exs', 'landlord', 'hung', 'prison', 'message', 'wife', 'bullied', 'weeks', 'amazing', 'stood', 'telling', 'leave', 'due', 'family', 'getting', 'polar', 'commit', 'hard', 'much', 'life', 'stress', 'bi', 'get', 'suicide', 'one', 'depression', 'co', 'ha']"
angelfairyppjm,"['bye', 'bts', 'love']"
MclernonPaige,"['reading', 'reason', 'therapy', 'also', 'need', 'feel']"
MentalNOS,"['asd', 'given', 'pals', 'opinion', 'removed', 'swore', 'assess', 'questionnaire', 'bloody', 'hospitalised', 'everywhere', 'lithium', 'salts', 'dxed', 'dyspraxia', 'earstabbing', 'bells', '400', '425', '450mg', 'phenelzine', 'opposed', 'nonshit', 'dxes', 'resistant', 'inadequate', 'diabetes', 'prime', 'livid', 'dx', 'disch', 'choosing', 'hypomania', 'delibe', 'bpd', 'emailed', 'evaluation', 'carried', 'reluctant', 'private', 'hint', 'firm', 'refe', 'study', 'cup', 'rings', 'letter', 'slowly', 'starting', 'saw']"
ElOroDorado,"['circumcision', 'created', 'decided', 'couldnt', 'buy', 'ptsd', 'amp', 'thing', 'te']"
hafifrazi,"['drinking', 'coffee', 'gives', 'drink', 'never', 'ever', 'anxiety']"
ptari_dactyl,"['salud', 'podemos', 'sanos', 'guilt', 'aftermath', '3minute', 'statement', 'overwhelming', 'amount', 'staf', 'mentalhealthmatters', 'ser', 'trauma', 'sin', 'mental', 'feel', 'la']"
SiriCerasi,"['obviously', 'doom', 'general', 'vs', 'theyre', 'related', 'ocd', 'feeling', 'think', 'anxiety']"
irlbloodelf,"['microwave', 'flashing', 'instantly', 'lingerie', 'cyber', '140', 'metal', 'sweetheart', 'lights', 'goodbye', 'ideal', 'monday', 'proper', 'bless', 'liked', 'came', 'spent', 'cos', 'session', 'believe', 'big', 'money', 'done', 'serious', 'god', 'put', 'addiction', 'ptsd', 'could', 'last', 'got', 'today', 'still', 'cant', 'man', 'therapy', 'tin', 'ive', 'one']"
CurtisLDuncan,"['bigger', 'black', 'ignores', 'laughed', 'subsequent', 'worthlessness', 'insecure', 'socalled', 'masculinity', 'cdcscientist', 'govt', 'murders', 'scientists', 'ericagarner', 'asthma', 'environmentalracism', 'pollution', 'early', 'mens', 'domestic', 'result', 'dealt', 'narcissistic', 'buying', 'potenti', 'racism', 'obvious', 'extremely', 'feelings', 'males', 'toxic', 'condition', 'caused', 'victims', 'violence', 'childhood', 'esteem', 'childh', 'definitely', 'committed', 'trauma', 'adhd', 'parents', 'boys', 'dead', 'often', 'trigger', 'male', 'suffered', 'problem']"
mirandoch,"['referred', 'complex', 'asd', 'eupd', 'record', 'nobody', 'nhs', 'brother', 'killed', 'mum', 'gone', 'despite', 'diagnosis', 'second', 'giving', 'ago', 'put', 'able', '20', 'years', 'person', 'cant', 'year', 'think', 'therapy', 'get', 'ive', 'suicide', 'ever', 'anxiety', 'depression', 'ha']"
LauraNKamienski,"['usually', 'holidays', 'thanksgiving', 'hits', 'okay', 'hard', 'really', 'suicidal', 'depression', 'im']"
MikaGlitch,"['accounts', 'alive', 'survivor', 'attempts', 'prou', 'harm', 'thoughts', 'self', 'suicidal', 'suicide', 'im']"
Aca_Awkward26,"['razor', 'syringes', 'triggering', 'blades', 'mindful', 'whos', 'please', 'ptsd']"
madmedicalman,"['tidy', 'whoops', 'paramedic', 'mysjaday', 'clean', 'patient', 'looks', 'nice', 'trauma']"
SoulfulOfWealth,"['individuals', 'peersupport', 'mentalillness', 'lots', 'anytime', 'mindful', 'retweet', 'usually', 'prior', 'ongoing', 'myths', 'tricks', 'diagnoses', 'expert', 'agoraphobia', 'deficit', 'language', 'terms', 'comparing', 'anxietycure', 'mindfulness', 'staying', 'stabili', 'followers', 'techniques', 'alleviate', 'panicattacks', 'invaluable', 'chance', 'stubborn', '95', 'debilitating', 'decisions', 'similarlyi', 'diagnosing', 'misdiagnosed', 'treated', 'unsuccessfully', 'doin', 'wildest', 'addictive', 'wonderful', 'engaged', 'impact', 'blinders', 'dredge', 'grey', 'fog', 'bible', 'gave']"
kendric20001,"['dealt', 'bullied', 'cause', 'mean', 'thank', 'feeling', 'suicide']"
MallieRydzik,"['goody', 'trump', 'pressconference', 'thriving', 'aspiring', 'perfectionist', 'nerd', 'medicated', 'rising', 'undiagnosed', 'totally', 'appreciated', 'interview', 'ocd', 'else', 'major', 'levels', 'probably', 'super', 'living', 'remember', 'aut', 'hope', 'also', 'someone', 'still', 'really', 'therapy', 'get', 'suicidal', 'like', 'anxiety', 'de']"
hashlyyy,"['communicating', 'texts', 'puts', 'effort', 'whenever', 'used', 'full', 'first', 'bad', 'someone', 'get', 'anxiety', 'one', 'im']"
BabyBear20689,"['christmas2018', 'iswho', '29', 'reception', 'sensible', 'intent', 'dwp', 'mentalhealthfirstaider', 'needing', 'happened', 'pathetic', 'pip', 'reply', 'train', 'loneliness', 'report', 'forms', 'important', 'christmas', 'advice', 'reading', 'selfharm', 'mentalhealth', 'question', 'turn', 'mentalillness', 'worthless', 'lonely', 'sat', 'become', 'yes', 'bitch', 'session', 'amp', 'twitter', 'support', 'plan', 'youre', 'sleep', 'sad', 'everyone', 'come', 'mind', 'going', 'help', 'today', 'get', 'act', 'therapy', 'depression']"
KarlWomack3,"['bullying', 'enquiry', 'convicted', 'illegal', 'steal', 'rotherham', 'forms', 'forces', 'residents', 'staff', 'news', 'victims', 'cla', 'rapist', 'made', 'give', 'able', 'abuse', 'back', 'take', 'see', 'know', 'son', 'suicide']"
eroticwetatomic,"['undo', 'una', 'took', 'went', 'trauma', 'tell', 'years', 'let', 'ex']"
Reinc_stone,"['crawling', 'hating', 'breathed', 'singing', 'inspired', 'dumped', 'dirty', 'legendary', 'favs', 'charity', 'aaa2018', 'noon', 'hrs', 'bow', 'performance', '45', 'bts', 'yall', 'legends', 'army', 'awards', 'face', 'place', 'nap', 'coming', 'relate', 'mma', 'maybe', 'show', 'mic', 'shit', 'af', 'live', 'long', 'back', 'got', 'hard', 'stan', 'take', 'ass', 'cant', 'work', 'way']"
BPDManicBirdie,"['psychosis', 'touchy', 'subject', 'pregnancy', 'jerk', 'midsummer', 'maniac', 'clown', 'australian', 'author', 'reaction', 'induced', 'knee', 'send', 'nightmare', 'blog', 'half', 'bipolar', 'mania', 'final', 'seriously', 'hopefully', 'tried', 'story', 'hes', 'believe', 'attempt', 'post', 'bpd', 'commit', 'new', 'thats', 'last', 'hard', 'someone', 'would', 'say', 'cant', 'dis', 'suicide', 'one', 'depression']"
su_naamii,"['ranting', 'start', 'suicidal', 'depressed']"
chiefokuani,"['sound', 'like', 'depressed']"
QueenOfChibiArt,"['excuse', 'didnt', 'expect', 'honestly', 'suffering', 'around', 'feel', 'lik', 'ive', 'depression']"
JJGardner9,"['powerful', 'documentary', 'investigates', 'longterm', 'grandparents', 'sidelines', 'effects', 'vietnam', 'short', 'veterans', 'step', 'parents', 'addiction', 'ptsd']"
Dream_thinny,"['shes', 'wwhat', 'depends', 'horny', 'moms', 'towards', 'skinny', 'whale', 'reply', 'website', 'suggested', 'shitty', 'universe', 'mom', 'stressful', 'desperate', 'weeks', 'seems', 'disorders', 'eating', 'cold', 'gone', 'stressed', 'text', 'wanted', 'tbh', 'relationship', 'dead', 'write', 'probably', 'related', 'emotional', 'lmao', 'doesnt', 'guess', 'stay', 'stop', 'bitch', 'body', 'worry', 'cure', 'physical', 'looking', 'list', 'anything', 'abuse', 'hell', 'sad', 'could', 'tell']"
phyllyhyll20,"['responds', 'differently', 'respond', 'book', 'everyone', 'understand', 'trauma', 'need']"
VeganNana15,"['terrorist', 'organization', 'hunting', 'regulations', 'humansarepsychotic', 'google', 'via', 'search', 'makes', 'child', 'fucking', 'live', 'amp', 'abuse', 'want', 'depressed']"
simalspace,"['pcy', 'freebies', 'bangtans', 'btsxmma', 'congrats', 'wins', '35', 'ascent', 'legendom', 'continued', 'dreamed', 'confront', 'shooter', 'osh', 'lights', 'btsatmma', 'melon', 'stream', 'legendary', 'except', 'card', 'must', 'mutual', 'btw', 'experiencing', 'kpop', 'bts', 'idol', 'stage', 'amazing', 'legends', 'burn', 'lives', 'losing', 'interest', 'dreams', 'movie', 'complete', 'worst', '2018', 'mma', 'maybe', 'happy', 'school', 'whole', 'anyone', 'ptsd', 'night', 'years', 'new']"
ToddRomanyshyn,"['numbers', 'hotlines', 'youd', 'phone', 'transform', 'opposite', 'please', 'let', 'wis', 'talk', 'know', 'like', 'suicide', 'suicidal', 'depressed', 'tr']"
Detective_7th,"['stfu', 'loser', 'depressed']"
SistaSoldier926,"['metoomovement', 'sexually', 'class', 'raise', 'white', 'metoo', 'metooms', 'asked', 'hand', 'several', 'quiet', 'suicideawareness', 'esteem', 'tried', 'everyone', 'commit', 'abuse', 'times', 'low', 'self', 'ms', 'suicide']"
cocofern142,"['realign', 'jaw', 'yawning', 'indicator', 'respiratory', 'infection', 'actively', 'helps', 'finally', 'peace', 'constant', 'longer', 'little', 'big', 'eating', 'lol', 'years', 'therapy', 'stress', 'suicidal']"
idclyric,"['falling', 'leaving', 'cares', 'ugly', 'yes', 'making', 'bitch', 'already', 'twitter', 'shit', 'life', 'suicidal', 'like', 'depressed', 'one', 'im']"
urfavbaldboi,"['says', 'song', 'name', 'brain', 'every', 'see', 'need', 'therapy', 'time', 'like']"
frnk__oreo,"['somebody', 'severely', 'best', 'friend', 'fucking', 'someone', 'talk', 'need', 'know', 'mo', 'depressed']"
roshini911,"['updated', 'hours', 'cop', 'fired', 'gee', '45', 'trav', 'least', 'wonder', 'spend', 'anxious', 'cause', 'top', 'much', 'really', 'think', 'stress', 'day', 'anxiety']"
